"","Abrothrix andinus","Abrothrix lanosus","Abrothrix longipilis","Abrothrix manni","Abrothrix olivaceus","Abrothrix sanborni","Aconaemys fuscus","Aconaemys porteri","Aconaemys sagei","Akodon albiventer","Andinomys edax","Auliscomys boliviensis","Auliscomys sublimis","Chelemys macronyx","Chinchillula sahamae","Ctenomys fulvus","Ctenomys magellanicus","Ctenomys maulinus","Ctenomys opimus","Eligmodontia puerulus","Eligmodontia typus","Euneomys chinchilloides","Euneomys mordax","Geoxus valdivianus","Irenomys tarsalis","Loxodontomys micropus","Mus musculus","Myocastor coypus","Octodon bridgesi","Octodon degus","Octodon lunatus","Octodontomys gliroides","Oligoryzomys longicaudatus","Phyllotis darwini","Phyllotis magister","Phyllotis xanthopygus","Reithrodon auritus","Spalacopus cyanus"
"Abrothrix andinus",0,0,0.0484783796357789,0,0.0248414055031951,0,0,0,0,0.99124748614727,0.999999999999985,0.999999999999999,1,0.0354653779134387,1.00000000000002,0.702956633972761,0,0,0.999999999999965,0.862734847123344,0,0,0.318271447982067,0,0,0.0599417834961686,0.186771959177359,0.00243652893009563,0.0424353371334204,0.0889855400956121,0.000212853079466394,0.780606396663324,0.0217974803807766,0.0255022087735566,0.912410989571847,0.807442224247618,0,0.141144009471688
"Abrothrix lanosus",0,0,0.0779484078252197,0,0.0438121519579813,0,0,0,0,0,0,0,0,0.0202228061012875,0,0,0.367821913283525,0,0,0,0.511709999955126,0.381525855022925,0,0.0592692346518638,0,0.0740651316289192,0,0.0567379335117211,0,0,0,0,0.0277169982146168,0,0,0,0.410774251674973,0
"Abrothrix longipilis",0.137543945916487,0.64963886420551,0,0.83686075684789,0.601274648032901,0.0849344264702346,0.999999999999972,1,0.999986809915896,0,0,0,0,0.9904578212961,0,0,0.776234507462252,0.999999999999984,0,0,0.999999999999972,0.459586921061859,0.999999999999987,0.902141979166156,0.795606983841694,0.900405647789034,0.447228727038868,0.706708905493556,0.999865521478702,0.757405791314787,0.969419821830317,0,0.595755011754005,0.595530907767625,0,0.21828441183358,0.933314931983091,0.783409773596904
"Abrothrix manni",0,0,0.12225735462881,0,0.0899367628639776,0,0,0.810640472771267,0.158278386631325,0,0,0,0,0.188822569909243,0,0,0,0.0601141869478178,0,0,0,0,0.0656847274685009,0.213702207032705,0.267309908191262,0.121774291100634,0.100983094603892,0.123364886387748,0.0403845292941281,0,0,0,0.103604140657837,0,0,0,0,0
"Abrothrix olivaceus",0.108466613236411,0.561934720280591,0.925335927242178,0.947418785911834,0,0.0849344264702352,0.999999999999974,1,0.999986741021952,0,0,0,0,0.988917189967678,0,0.130114208586617,0.66024165552908,0.999999999999984,0,0.0749420759246781,0.99998895543907,5.7489348266409e-06,0.873700212706128,0.962631397004612,0.92716741034842,0.971039304839351,0.681075896558351,0.947485720766576,0.999863367537696,0.958952666649958,0.999982982398472,0.160886369044151,0.860143328698221,0.926163582518664,0.00928583228897081,0.196644399190355,0.668944736832752,0.986566233413969
"Abrothrix sanborni",0,0,0.00129831132932576,0,0.000843630582791763,0,0,0,0,0,0,0,0,0.00256004461357618,0,0,0.0046551059453896,0,0,0,0,0,0,0.018314440530687,0.0342105206619045,0.0131053436188698,0.0100668304912409,0.0124031411619826,0,0,0,0,0.0108558851677324,0,0,0,0.00616394081337229,0
"Aconaemys fuscus",0,0,0.0816970713071822,0,0.053085994339317,0,0,0,0,0,0,0,0,0.139124213966651,0,0,0,0.442940880999519,0,0,0,0,0.373753150082487,0.0811398714657611,0.0396910834035038,0.111382330381134,0.0587965903137757,0.040461091058512,0.223103171561178,0.00561428114585721,0,0,0.0532027115515226,0.0528616151383845,0,0.0538076899355459,0,0
"Aconaemys porteri",0,0,0.0368384740854904,0.204412817357192,0.02393729659437,0,0,0,0,0,0,0,0,0.072639077411349,0,0,0,0.0532346095999423,0,0,0,0,0.087103407974782,0.0603396769700983,0.0877477688444278,0.05022401691609,0.0263186460020212,0.0313726472294503,0.0398953847583611,0,0,0,0.0261636755199494,0,0,0,0,0
"Aconaemys sagei",0,0,0.113913323549541,0.123418446255327,0.0740198092262701,0,0,0,0,0,0,0,0,0.224610763722992,0,0,0,0.333204876936028,0,0,0,0,0.101184962189381,0.178515052116066,0.154520232546447,0.10445666244571,0.0804423229155362,0.0917501385730784,0.226732956642367,0,0,0,0.080904307486588,0,0,0.00645038386759452,0,0
"Akodon albiventer",0.314062259407225,0,0,0,0,0,0,0,0,0,0.999990421711927,0.999521229916747,0.95878609409948,0,0.997406357444376,0.279256197117747,0,0,0.860883937301215,0.746794826431739,0,0,0,0,0,0,0.0500721622722128,0,0,0,0,0.739059412565395,0,0,0.492317680894172,0.270018885522368,0,0
"Andinomys edax",0.0500832083290308,0,0,0,0,0,0,0,0,0.158071775116587,0,0.978176455370966,0.164711179992983,0,0.919763736022078,0,0,0,0.0996727095627249,0.118229413074951,0,0,0,0,0,0,0.0127041148510905,0,0,0,0,0.262522819370803,0,0,0.108360788057236,0.043118750900098,0,0
"Auliscomys boliviensis",0.0461568380229772,0,0,0,0,0,0,0,0,0.145611079311017,0.901490413949302,0,0.149639823869708,0,0.852272007229331,0,0,0,0.104614761583749,0.108960588806548,0,0,0,0,0,0,0.0117081511143364,0,0,0,0,0.241781054653816,0,0,0.0910118481547293,0.0397383727490815,0,0
"Auliscomys sublimis",0.268721500158693,0,0,0,0,0,0,0,0,0.813187117758394,0.883757987104949,0.871191348370372,0,0,0.894048602263475,0.24973314590532,0,0,0.860883937301215,0.62501138244129,0,0,0,0,0,0,0.0437072042089258,0,0,0,0,0.593181695864603,0,0,0.348814023475509,0.231353697445277,0,0
"Chelemys macronyx",0.0510304371984506,0.0854746794095464,0.5023047660141,0.655486007991579,0.325885252499477,0.0849344264702346,0.863629659021406,1,0.999957693488352,0,0,0,0,0,0,0,0.234922208443235,0.98324107742456,0,0,0.903330628435568,0,0.863202613796422,0.694014690344082,0.612334140917698,0.577492624343449,0.272787925683206,0.376492517431263,0.799280962886845,0.0112079480662438,0,0,0.345733219309806,0.119551416159572,0,0.127996809972386,0.233009264869688,0.0307745370970655
"Chinchillula sahamae",0.0533344881310676,0,0,0,0,0,0,0,0,0.167898420927029,0.979472555751171,0.984805138328253,0.177446257697499,0,0,0,0,0,0.104614761583749,0.125904578376102,0,0,0,0,0,0,0.0135288350197097,0,0,0,0,0.279698295809938,0,0,0.107633709143898,0.0459179151023899,0,0
"Ctenomys fulvus",0.413674932313619,0,0,0,0.0175361995737935,0,0,0,0,0.518680401589587,0,0,0.546895617742282,0,0,0,0,0,0.199976069326002,0.497772068738193,0,0,0,0,0,0,0.0978327163909597,0,0,0,0,0.00803000255638158,0,0,0.528576259129114,0.374706112876676,0,0
"Ctenomys magellanicus",0,0.854971476591473,0.216492184511924,0,0.119653571620437,0.0849344264702349,0,0,0,0,0,0,0,0.129193909094627,0,0,0,0,0,0,0.998986821954073,0.651575632355738,0,0.163460025051441,0.0386493472631947,0.189589792827093,0,0.166115279951817,0,0,0,0,0.0693736469238264,0,0,0.0153164985636144,0.954523701046628,0
"Ctenomys maulinus",0,0,0.126341093454369,0.0519876058137884,0.0820952632037877,0,0.684989490390706,0.182573218718695,0.369552146452557,0,0,0,0,0.244947681023288,0,0,0,0,0,0,0,0,0.542787545598908,0.174084413172955,0.179336360846343,0.172248101268363,0.0896645617780532,0.0735498630433392,0.368663053701875,0,0,0,0.0864892878250852,0.00577978796521125,0,0.0502145882898939,0,0
"Ctenomys opimus",0.0329592326701367,0,0,0,0,0,0,0,0,0.0895546302472359,0.0655935618932077,0.0747023066452963,0.105589147034153,0,0.0646490177105742,0.0112001657379855,0,0,0,0.0669815338610229,0,0,0,0,0,0,0.00496380911208281,0,0,0,0,0.0647433723719502,0,0,0.00592557250031733,0.0283759964822026,0,0
"Eligmodontia puerulus",0.365463449047157,0,0,0,0.00727063615291435,0,0,0,0,0.998468244850998,0.999999999999985,0.999999999999999,0.98526287701237,0,1.00000000000002,0.35831621448866,0,0,0.860883937301217,0,0,0,0,0,0,0,0.0706735814303737,0,0,0,0,0.868069130703551,0,0,0.652394520137527,0.312871245270374,0,0
"Eligmodontia typus",0,0.0338620978697188,0.00794008600803796,0,0.00515933678855895,0,0,0,0,0,0,0,0,0.0141429703021417,0,0,0.0284403992487325,0,0,0,0,0,0,0.0104454016832833,0,0.00977871422672479,0,0.00664542689162113,0,0,0,0,0.00429998825578382,0,0,0.00198507677861548,0.0376968290279406,0
