Parasite,Rodent,Type
Ctenoparia inopinata,Abrothrix olivaceus,EctoParasite
Ctenoparia inopinata,Oligoryzomys longicaudatus,EctoParasite
Ctenoparia inopinata,Rattus rattus,EctoParasite
Ctenoparia inopinata,Abrothrix sanborni,EctoParasite
Ctenoparia inopinata,Geoxus valdivianus,EctoParasite
Ctenoparia inopinata,Phyllotis darwini,EctoParasite
Ctenoparia inopinata,Loxodontomys micropus,EctoParasite
Ctenoparia inopinata,Aconaemys porteri,EctoParasite
Ctenoparia intermedia,Loxodontomys micropus,EctoParasite
Ctenoparia jordani,Abrothrix olivaceus,EctoParasite
Ctenoparia jordani,Rattus rattus,EctoParasite
Ctenoparia jordani,Abrothrix longipilis,EctoParasite
Ctenoparia jordani,Loxodontomys micropus,EctoParasite
Ctenoparia jordani,Oligoryzomys longicaudatus,EctoParasite
Ctenoparia topallii,Abrothrix olivaceus,EctoParasite
Ctenoparia topallii,Abrothrix longipilis,EctoParasite
Ctenoparia topallii,Abrothrix sanborni,EctoParasite
Ctenoparia topallii,Loxodontomys micropus,EctoParasite
Ctenoparia topallii,Oligoryzomys longicaudatus,EctoParasite
Ctenoparia topallii,Spalacopus cyanus,EctoParasite
Dasypsyllus aedon,Abrothrix longipilis,EctoParasite
Dasypsyllus araucanus,Abrothrix olivaceus,EctoParasite
Delostichus coxalis,Octodon degus,EctoParasite
Delostichus coxalis,Abrocoma bennetti,EctoParasite
Delostichus coxalis,Rattus rattus,EctoParasite
Delostichus coxalis,Abrothrix olivaceus,EctoParasite
Delostichus coxalis,Octodon lunatus,EctoParasite
Delostichus degus,Octodon degus,EctoParasite
Delostichus degus,Abrocoma bennetti,EctoParasite
Delostichus octomyos,Octomys mimax,EctoParasite
Delostichus octomyos,Octodon degus,EctoParasite
Delostichus phyllotis,Octodon degus,EctoParasite
Delostichus phyllotis,Abrocoma bennetti,EctoParasite
Delostichus phyllotis,Phyllotis darwini,EctoParasite
Delostichus phyllotis,Octodon bridgesi,EctoParasite
Delostichus smiti,Octodon degus,EctoParasite
Delostichus smiti,Abrocoma bennetti,EctoParasite
Delostichus smiti,Rattus rattus,EctoParasite
Delostichus smiti,Phyllotis darwini,EctoParasite
Delostichus smiti,Abrothrix longipilis,EctoParasite
Echidnophaga gallinacea,Rattus norvegicus,EctoParasite
Echidnophaga gallinacea,Cavia porcellus,EctoParasite
Ectinorus angularis,Abrothrix olivaceus,EctoParasite
Ectinorus chilensis,Oligoryzomys longicaudatus,EctoParasite
Ectinorus chilensis,Octodon degus,EctoParasite
Ectinorus chilensis,Abrocoma bennetti,EctoParasite
Ectinorus chilensis,Aconaemys fuscus,EctoParasite
Ectinorus chilensis,Spalacopus cyanus,EctoParasite
Ectinorus cocyti ,Abrothrix olivaceus,EctoParasite
Ectinorus cocyti ,Octodon degus,EctoParasite
Ectinorus cocyti ,Spalacopus cyanus,EctoParasite
Ectinorus cocyti ,Abrocoma bennetti,EctoParasite
Ectinorus curvatus,Phyllotis darwini,EctoParasite
Ectinorus deplexus,Euneomys chinchilloides,EctoParasite
Ectinorus gallardoi,Aconaemys fuscus,EctoParasite
Ectinorus hertigi,Ctenomys fulvus,EctoParasite
Ectinorus ineptus,Phyllotis darwini,EctoParasite
Ectinorus ineptus,Eligmodontia puerulus,EctoParasite
Ectinorus insignis,Eligmodontia puerulus,EctoParasite
Ectinorus ixanus,Loxodontomys micropus,EctoParasite
Ectinorus lagidium,Lagidium viscacia,EctoParasite
Ectinorus levipes,Abrothrix longipilis,EctoParasite
Ectinorus martini,Aconaemys fuscus,EctoParasite
Ectinorus martini,Aconaemys porteri,EctoParasite
Ectinorus martini,Aconaemys sagei,EctoParasite
Ectinorus martini,Geoxus valdivianus,EctoParasite
Ectinorus martini,Chelemys macronyx,EctoParasite
Ectinorus martini,Abrothrix olivaceus,EctoParasite
Ectinorus mondacai,Aconaemys fuscus,EctoParasite
Ectinorus mondacai,Aconaemys porteri,EctoParasite
Ectinorus nomisis,Octodontomys gliroides,EctoParasite
Ectinorus nomisis,Andinomys edax,EctoParasite
Ectinorus onychius,Abrothrix longipilis,EctoParasite
Ectinorus onychius,Abrothrix olivaceus,EctoParasite
Ectinorus onychius,Loxodontomys micropus,EctoParasite
Ectinorus onychius,Reithrodon auritus,EctoParasite
Ectinorus onychius,Phyllotis xanthopygus,EctoParasite
Ectinorus onychius,Eligmodontia typus,EctoParasite
Ectinorus setosicornis,Lagidium viscacia,EctoParasite
Ectinorus simonsi,Octodontomys gliroides,EctoParasite
Ectinorus splendidus,Euneomys chinchilloides,EctoParasite
Ectinorus uncinatus,Andinomys edax,EctoParasite
Hectopsylla cypha,Abrothrix longipilis,EctoParasite
Hectopsylla cypha,Abrothrix olivaceus,EctoParasite
Hectopsylla cypha,Oligoryzomys longicaudatus,EctoParasite
Hectopsylla cypha,Phyllotis darwini,EctoParasite
Hectopsylla cypha,Phyllotis xanthopygus,EctoParasite
Hectopsylla gemina,Abrocoma bennetti,EctoParasite
Hectopsylla gemina,Phyllotis darwini,EctoParasite
Hectopsylla suarezi,Ctenomys robustus,EctoParasite
Hectopsylla suarezi,Rattus rattus,EctoParasite
Hectopsylla suarezi,Rattus norvegicus,EctoParasite
Hectopsylla suarezi,Octodontomys gliroides,EctoParasite
Leptopsylla segnis,Oligoryzomys longicaudatus,EctoParasite
Leptopsylla segnis,Rattus rattus,EctoParasite
Leptopsylla segnis,Mus musculus,EctoParasite
Leptopsylla segnis,Abrothrix olivaceus,EctoParasite
Leptopsylla segnis,Rattus norvegicus,EctoParasite
Leptopsylla segnis,Octodon degus,EctoParasite
Listronius fortis,Abrothrix longipilis,EctoParasite
Listronius fortis,Abrothrix olivaceus,EctoParasite
Listronius plesiomorphus,Abrothrix longipilis,EctoParasite
Listronius plesiomorphus,Chelemys macronyx,EctoParasite
Listronius ulus,Abrothrix longipilis,EctoParasite
Listronius ulus,Abrothrix olivaceus,EctoParasite
Listronius ulus,Loxodontomys micropus,EctoParasite
Listronius ulus,Reithrodon auritus,EctoParasite
Neotyphloceras chilensis,Abrothrix longipilis,EctoParasite
Neotyphloceras chilensis,Oligoryzomys longicaudatus,EctoParasite
Neotyphloceras chilensis,Phyllotis darwini,EctoParasite
Neotyphloceras chilensis,Octodon degus,EctoParasite
Neotyphloceras chilensis,Abrocoma bennetti,EctoParasite
Neotyphloceras chilensis,Rattus rattus,EctoParasite
Neotyphloceras chilensis,Abrothrix olivaceus,EctoParasite
Neotyphloceras chilensis,Phyllotis xanthopygus,EctoParasite
Neotyphloceras chilensis,Octodon bridgesi,EctoParasite
Neotyphloceras crassispina,Abrothrix longipilis,EctoParasite
Neotyphloceras crassispina,Oligoryzomys longicaudatus,EctoParasite
Neotyphloceras crassispina,Phyllotis darwini,EctoParasite
Neotyphloceras crassispina,Abrothrix olivaceus,EctoParasite
Neotyphloceras crassispina,Abrothrix andinus,EctoParasite
Neotyphloceras crassispina,Akodon albiventer,EctoParasite
Neotyphloceras crassispina,Loxodontomys micropus,EctoParasite
Neotyphloceras crassispina,Phyllotis xanthopygus,EctoParasite
Neotyphloceras crassispina,Chelemys macronyx,EctoParasite
Neotyphloceras crassispina,Reithrodon auritus,EctoParasite
Neotyphloceras crassispina,Abrocoma cinerea,EctoParasite
Neotyphloceras crassispina,Ctenomys opimus,EctoParasite
Neotyphloceras crassispina,Aconaemys porteri,EctoParasite
Neotyphloceras crassispina,Octodontomys gliroides,EctoParasite
Neotyphloceras crassispina,Rattus rattus,EctoParasite
Neotyphloceras crassispina,Octodon degus,EctoParasite
Neotyphloceras pardinasi,Abrothrix olivaceus,EctoParasite
Neotyphloceras pardinasi,Abrothrix longipilis,EctoParasite
Neotyphloceras pardinasi,Oligoryzomys longicaudatus,EctoParasite
Neotyphloceras pardinasi,Rattus rattus,EctoParasite
Nonnapsylla rothschildi,Octodontomys gliroides,EctoParasite
Nonnapsylla rothschildi,Abrocoma cinerea,EctoParasite
Nosopsyllus fasciatus,Abrothrix longipilis,EctoParasite
Nosopsyllus fasciatus,Abrothrix olivaceus,EctoParasite
Nosopsyllus fasciatus,Oligoryzomys longicaudatus,EctoParasite
Nosopsyllus fasciatus,Rattus rattus,EctoParasite
Nosopsyllus fasciatus,Aconaemys porteri,EctoParasite
Nosopsyllus fasciatus,Myocastor coypus,EctoParasite
Plocopsylla achilles,Rattus rattus,EctoParasite
Plocopsylla achilles,Abrothrix longipilis,EctoParasite
Plocopsylla consobrina,Abrothrix longipilis,EctoParasite
