"","Ctenomys maulinus","Reithrodon auritus","Loxodontomys micropus","Akodon albiventer","Ctenomys opimus","Auliscomys boliviensis","Abrothrix olivaceus","Abrothrix manni","Abrothrix lanosus","Octodon lunatus","Auliscomys sublimis","Octodon bridgesi","Phyllotis magister","Spalacopus cyanus","Euneomys chinchilloides","Euneomys mordax","Chinchillula sahamae","Octodontomys gliroides","Chelemys macronyx","Abrothrix sanborni","Loxodontomys pikumche","Octodon degus","Oligoryzomys longicaudatus","Abrocoma bennettii","Abrothrix andinus","Phyllotis xanthopygus","Geoxus valdivianus","Lagidium viscacia","Phyllotis osgoodi","Abrothrix longipilis","Mus musculus","Abrocoma cinerea","Eligmodontia puerulus","Aconaemys fuscus","Ctenomys fulvus","Aconaemys sagei","Aconaemys porteri","Irenomys tarsalis","Ctenomys magellanicus","Phyllotis darwini","Andinomys edax","Eligmodontia typus","Myocastor coypus"
"Aconaemys fuscus",0.442940880999519,0,0.111382330381134,0,0,0,0.053085994339317,0,0,0,0,0.223103171561178,0,0,0,0.373753150082487,0,0,0.139124213966651,0,0.265890308911677,0.00561428114585721,0.0532027115515226,0,0,0.0538076899355459,0.0811398714657611,0.0221468244270971,0,0.0816970713071822,0.0587965903137757,0,0,0.999999999999973,0,0,0,0.0396910834035038,0,0.0528616151383845,0,0,0.040461091058512
"Ctenomys fulvus",0,0,0,0.518680401589587,0.199976069326002,0,0.0175361995737935,0,0,0,0.546895617742282,0,0.528576259129114,0,0,0,0,0.00803000255638158,0,0,0,0,0,0,0.413674932313619,0.374706112876676,0,0.327947685271424,0,0,0.0978327163909597,0.586841060954339,0.497772068738193,0,1,0,0,0,0,0,0,0,0
"Aconaemys sagei",0.333204876936028,0,0.10445666244571,0,0,0,0.0740198092262701,0.123418446255327,0,0,0,0.226732956642367,0,0,0,0.101184962189381,0,0,0.224610763722992,0,0,0,0.080904307486588,0,0,0.00645038386759452,0.178515052116066,0.0354390039615258,0,0.113913323549541,0.0804423229155362,0,0,0,0,1,0,0.154520232546447,0,0,0,0,0.0917501385730784
"Aconaemys porteri",0.0532346095999423,0,0.05022401691609,0,0,0,0.02393729659437,0.204412817357192,0,0,0,0.0398953847583611,0,0,0,0.087103407974782,0,0,0.072639077411349,0,0,0,0.0261636755199494,0,0,0,0.0603396769700983,0.00369214907300926,0,0.0368384740854904,0.0263186460020212,0,0,0,0,0,1,0.0877477688444278,0,0,0,0,0.0313726472294503
"Irenomys tarsalis",0.580337761064629,0.0102115591259618,0.376564040332926,0,0,0,0.246313794540498,0.748084012990257,0,0,0,0.345878986532956,0,0.0097720294615657,0,0.321161144447029,0,0,0.493644462692209,0.915001285256139,0,0,0.29030075013357,0,0,0.0132572885784675,0.536210419734033,0.0735214949966139,0,0.325278752150757,0.175657662620131,0,0,0.198629419751689,0,0.55457745460397,0.973848855911225,0.999999999999995,0.0566565329691259,0.00586309025603366,0,0,0.329024697414657
"Ctenomys magellanicus",0,0.954523701046628,0.189589792827093,0,0,0,0.119653571620437,0,0.854971476591473,0,0,0,0,0,0.651575632355738,0,0,0,0.129193909094627,0.0849344264702349,0,0,0.0693736469238264,0,0,0.0153164985636144,0.163460025051441,0,0,0.216492184511924,0,0,0,0,0,0,0,0.0386493472631947,1,0,0,0.998986821954073,0.166115279951817
"Phyllotis darwini",0.0178680379332837,0,0.187082270754893,0,0,0,0.235055684892978,0,0,0.999812803819507,0,0.332204746095191,0,0.885275280838018,0,0,0,0,0.0920731502432244,0,0.660468657821252,0.958501180867899,0.251045761325911,0.694193245404255,0.0282605605303132,0.0281920285988015,0.121397880226659,0.0854138447622875,0,0.23260224217045,0.281093492043818,0,0,0.252722280020503,0,0,0,0.00560117397068947,0,1,0,0,0.21449103386047
"Andinomys edax",0,0,0,0.158071775116587,0.0996727095627249,0.978176455370966,0,0,0,0,0.164711179992983,0,0.108360788057236,0,0,0,0.919763736022078,0.262522819370803,0,0,0,0,0,0,0.0500832083290308,0.043118750900098,0,0.0481428247061611,0.588196832828335,0,0.0127041148510905,0.153949492083922,0.118229413074951,0,0,0,0,0,0,0,0.999999999999984,0,0
"Eligmodontia typus",0,0.0376968290279406,0.00977871422672479,0,0,0,0.00515933678855895,0,0.0338620978697188,0,0,0,0,0,0,0,0,0,0.0141429703021417,0,0,0,0.00429998825578382,0,0,0.00198507677861548,0.0104454016832833,0,0,0.00794008600803796,0,0,0,0,0,0,0,0,0.0284403992487325,0,0,0.999999999999966,0.00664542689162113
"Myocastor coypus",0.683577412147416,0.663946070809446,0.867594670197782,0,0,0,0.722930601011866,0.991562829532557,0.555250208461044,0.951120559075429,0,0.841759507081186,0,0.722317436341965,0.117015637494121,0.149934236895061,0,0,0.871716974295077,0.952767785807369,0.681089493243447,0.795913727041483,0.747869887076429,0.341853438346193,0.0081173715113062,0.0245699239291055,0.958202579234754,0.066149292697789,0,0.829833628976354,0.428326356541902,0,0,0.581542645857225,0,0.945751293452316,1,0.944978345111754,0.699376075417053,0.644837103303344,0,0.982761522233238,1
